Modell,Testfall,Technischer Status,Bewertung,Tatsächliches Ergebnis / Fehlermeldung
claude,App starts / docs reachable,correct,bestanden,✓
claude,Dashboard route,correct,bestanden,✓
claude,Invalid login rejected,failed,nicht bestanden,✗
claude,Login form submit,failed,nicht bestanden,✗
claude,Login page,correct,bestanden,✓
claude,Negative transfer handled,failed,nicht bestanden,✗
claude,Register form submit,failed,nicht bestanden,✗
claude,Register page,correct,bestanden,✓
claude,SQL injection login handled,failed,nicht bestanden,✗
claude,Transfer page,correct,bestanden,✓
claude,Transfer without login blocked,failed,nicht bestanden,✗
gemini,App starts / docs reachable,correct,bestanden,✓
gemini,Dashboard route,failed,nicht bestanden,✗
gemini,Invalid login rejected,correct,bestanden,✓
gemini,Login form submit,correct,bestanden,✓
gemini,Login page,failed,nicht bestanden,✗
gemini,Negative transfer handled,failed,nicht bestanden,✗
gemini,Register form submit,failed,nicht bestanden,✗
gemini,Register page,failed,nicht bestanden,✗
gemini,SQL injection login handled,correct,bestanden,✓
gemini,Transfer page,failed,nicht bestanden,✗
gemini,Transfer without login blocked,failed,nicht bestanden,✗
gpt,App starts / docs reachable,correct,bestanden,✓
gpt,Dashboard route,correct,bestanden,✓
gpt,Invalid login rejected,correct,bestanden,✓
gpt,Login form submit,correct,bestanden,✓
gpt,Login page,error_ConnectionError,nicht bestanden,ERROR: ConnectionError - Eine vorhandene Verbindung wurde vom Remotehost geschlossen
gpt,Negative transfer handled,failed,nicht bestanden,✗
gpt,Register form submit,failed,nicht bestanden,✗
gpt,Register page,correct,bestanden,✓
gpt,SQL injection login handled,correct,bestanden,✓
gpt,Transfer page,correct,bestanden,✓
gpt,Transfer without login blocked,failed,nicht bestanden,✗
